Year,Covered Entity,Amount,Penalty Type
2015,"Cancer Care Group, P.C.","$750,000 ",Settlement
2015,St. Elizabeth’s Medical Center,"$218,400 ",Settlement
2015,Cornell Prescription Pharmacy,"$125,000 ",Settlement
2014,New York and Presbyterian Hospital and Columbia University,"$4,800,000 ",Settlement
2014,Concentra Health Services,"$1,725,220 ",Settlement
2014,"Parkview Health System, Inc.","$800,000 ",Settlement
2014,"QCA Health Plan, Inc., of Arkansas","$250,000 ",Settlement
2014,"Skagit County, Washington","$215,000 ",Settlement
2014,Anchorage Community Mental Health Services,"$150,000 ",Settlement
2013,WellPoint,"$1,700,000 ",Settlement
2013,"Affinity Health Plan, Inc.","$1,215,780 ",Settlement
2013,Idaho State University,"$400,000 ",Settlement
2013,Shasta Regional Medical Center,"$275,000 ",Settlement
2013,"Adult & Pediatric Dermatology, P.C.","$150,000 ",Settlement
2012,Alaska DHSS,"$1,700,000 ",Settlement
2012,"Massachusetts Eye and Ear Infirmary and Massachusetts Eye and Ear Associates, Inc.","$1,500,000 ",Settlement
2012,Blue Cross Blue Shield of Tennessee,"$1,500,000 ",Settlement
2012,Phoenix Cardiac Surgery,"$100,000 ",Settlement
2012,The Hospice of Northern Idaho,"$50,000 ",Settlement
2011,Cignet Health of Prince George’s County,"$4,300,000 ",Civil Monetary Penalty
2011,General Hospital Corp. & Massachusetts General Physicians Organization Inc.,"$1,000,000 ",Settlement
2011,University of California at Los Angeles Health System,"$865,500 ",Settlement
2010,Rite Aid Corporation,"$1,000,000 ",Settlement
2010,Management Services Organization Washington Inc.,"$35,000 ",Settlement
2009,CVS Pharmacy Inc.,"$2,250,000 ",Settlement
2008,Providence Health & Services,"$100,000 ",Settlement
